gene	tissues	num_features	features_size	regulator_overlapping	regulator_closest	regulator_closest_distance	tissues_WIDE	num_features_WIDE	features_size_WIDE	regulator_overlapping_WIDE	regulator_closest_WIDE	regulator_closest_distance_WIDE	num_features_ALL	features_size_ALL	regulator_overlapping_ALL	regulator_closest_ALL	regulator_closest_distance_ALL
chr10	71075518	HK1	erythroblast (ENH_E)	19	13285	chr10:71075199-71075891	chr10:71075199-71075891	0	erythroblast (ENH_E);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S);neuron (ENH_F, PR_F)	216	88342	chr10:71075199-71075891	chr10:71075199-71075891	0	1414	667212	chr10:71074631-71076699	chr10:71074631-71076699	0
chr11	116708365	APOA1	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	181	102565	chr11:116707492-116708880	chr11:116707492-116708880	0	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);small intestine (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	445	184353	chr11:116702128-116708880	chr11:116702128-116708880	0	1174	655654	chr11:116702128-116708885	chr11:116702128-116708885	0
chr11	2182532	INS	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	129	67156	None	chr11:2178120-2178439	4093	body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);endocrine pancreas (ENH_S, PR_S)	775	228706	chr11:2182191-2182675	chr11:2182191-2182675	0	756	801813	chr11:2182191-2182675	chr11:2182191-2182675	0
chr11	2182533	INS	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	129	67156	None	chr11:2178120-2178439	4094	body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);endocrine pancreas (ENH_S, PR_S)	775	228706	chr11:2182191-2182675	chr11:2182191-2182675	0	756	801813	chr11:2182191-2182675	chr11:2182191-2182675	0
chr11	2193085	TH	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	226	85589	chr11:2192970-2193300	chr11:2192970-2193300	0	substantia nigra (ENH_S, PR_S);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	254	98357	chr11:2192970-2193300	chr11:2192970-2193300	0	748	803607	chr11:2192522-2193545	chr11:2192522-2193545	0
chr11	2193086	TH	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	226	85589	chr11:2192970-2193300	chr11:2192970-2193300	0	substantia nigra (ENH_S, PR_S);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	254	98357	chr11:2192970-2193300	chr11:2192970-2193300	0	748	803607	chr11:2192522-2193545	chr11:2192522-2193545	0
chr11	2193087	TH	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	226	85589	chr11:2192970-2193300	chr11:2192970-2193300	0	substantia nigra (ENH_S, PR_S);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	254	98357	chr11:2192970-2193300	chr11:2192970-2193300	0	748	803607	chr11:2192522-2193545	chr11:2192522-2193545	0
chr11	5248326	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248329	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248330	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248331	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248332	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248333	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248372	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248374	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248388	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248389	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr11	5248391	HBB	erythroblast (ENH_E)	30	20374	chr11:5248003-5248806	chr11:5248003-5248806	0	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	64	34904	chr11:5248003-5248806	chr11:5248003-5248806	0	1268	373560	chr11:5247589-5248806	chr11:5247589-5248806	0
chr1	155271258	PKLR	erythroblast (ENH_E)	33	22728	chr1:155271134-155271552	chr1:155271134-155271552	0	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);erythroblast (ENH_E);hepatocyte (CHR_E, ENH_F, PR_F)	319	155234	chr1:155270459-155271785	chr1:155270459-155271785	0	1263	662678	chr1:155270435-155271795	chr1:155270435-155271795	0
chr1	155271269	PKLR	erythroblast (ENH_E)	33	22728	chr1:155271134-155271552	chr1:155271134-155271552	0	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);erythroblast (ENH_E);hepatocyte (CHR_E, ENH_F, PR_F)	319	155234	chr1:155270459-155271785	chr1:155270459-155271785	0	1263	662678	chr1:155270435-155271795	chr1:155270435-155271795	0
chr1	160001799	PIGM	granulocyte (ENH_F, PR_F)	2	691	chr1:160001625-160001888	chr1:160001625-160001888	0	granulocyte (ENH_F, PR_F);skin fibroblast (CHR_S, ENH_F, PR_F)	75	39574	chr1:160001472-160002103	chr1:160001472-160002103	0	1046	641281	chr1:160000007-160003011	chr1:160000007-160003011	0
chr1	173886568	SERPINC1	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	83	53476	chr1:173886107-173886858	chr1:173886107-173886858	0	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatocyte (CHR_E, ENH_F, PR_F)	123	62427	chr1:173886107-173887749	chr1:173886107-173887749	0	1145	404424	chr1:173885439-173887749	chr1:173885439-173887749	0
chr12	121416289	HNF1A	hepatocyte (CHR_E, ENH_F, PR_F)	58	9540	chr12:121416140-121416360	chr12:121416140-121416360	0	endocrine pancreas (ENH_S, PR_S);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);left kidney (CHR_E, CHR_S);pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S);right kidney (CHR_E, CHR_S)	567	221315	chr12:121415882-121416924	chr12:121415882-121416924	0	1328	616757	chr12:121415442-121419892	chr12:121415442-121419892	0
chr12	121416354	HNF1A	hepatocyte (CHR_E, ENH_F, PR_F)	58	9540	chr12:121416140-121416360	chr12:121416140-121416360	0	endocrine pancreas (ENH_S, PR_S);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);left kidney (CHR_E, CHR_S);pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S);right kidney (CHR_E, CHR_S)	567	221315	chr12:121415882-121416924	chr12:121415882-121416924	0	1328	616757	chr12:121415442-121419892	chr12:121415442-121419892	0
chr13	113760062	F7	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	254	99710	chr13:113759817-113760385	chr13:113759817-113760385	0	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatocyte (CHR_E, ENH_F, PR_F)	515	156425	chr13:113759817-113760680	chr13:113759817-113760680	0	1062	800445	chr13:113759485-113760680	chr13:113759485-113760680	0
chr13	20767158	GJB2	mammary epithelial cell (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	138	35716	chr13:20765373-20767284	chr13:20765373-20767284	0	mammary epithelial cell (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	138	35716	chr13:20765373-20767284	chr13:20765373-20767284	0	1403	595654	chr13:20761990-20768975	chr13:20761990-20768975	0
chr13	48877851	RB1	retina (CHR_E, CHR_S, PR_F)	98	42666	chr13:48877088-48879187	chr13:48877088-48879187	0	retina (CHR_E, CHR_S, PR_F);retina embryonic (CHR_S);retinal pigment epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S)	131	48267	chr13:48877088-48879187	chr13:48877088-48879187	0	1156	505669	chr13:48876128-48880341	chr13:48876128-48880341	0
chr13	48877856	RB1	retina (CHR_E, CHR_S, PR_F)	98	42666	chr13:48877088-48879187	chr13:48877088-48879187	0	retina (CHR_E, CHR_S, PR_F);retina embryonic (CHR_S);retinal pigment epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S)	131	48267	chr13:48877088-48879187	chr13:48877088-48879187	0	1156	505669	chr13:48876128-48880341	chr13:48876128-48880341	0
chr13	48877860	RB1	retina (CHR_E, CHR_S, PR_F)	98	42666	chr13:48877088-48879187	chr13:48877088-48879187	0	retina (CHR_E, CHR_S, PR_F);retina embryonic (CHR_S);retinal pigment epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S)	131	48267	chr13:48877088-48879187	chr13:48877088-48879187	0	1156	505669	chr13:48876128-48880341	chr13:48876128-48880341	0
