gene	tissues	num_features	features_size	regulator_overlapping	regulator_closest	regulator_closest_distance	tissues_WIDE	num_features_WIDE	features_size_WIDE	regulator_overlapping_WIDE	regulator_closest_WIDE	regulator_closest_distance_WIDE	num_features_ALL	features_size_ALL	regulator_overlapping_ALL	regulator_closest_ALL	regulator_closest_distance_ALL
chr1	21890663	ALPL	osteoblast (CHR_E, ENH_F, ENH_S, PR_F, PR_S)	796	170267	None	chr1:21890408-21890565	98	right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);osteoblast (CHR_E, ENH_F, ENH_S, PR_F, PR_S);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);left arm bone (CHR_E);right arm bone (CHR_E);right leg bone (CHR_E);kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S);left leg bone (CHR_E)	874	296548	chr1:21890408-21890800	chr1:21890408-21890800	0	1106	700219	chr1:21888788-21892766	chr1:21888788-21892766	0
chr2	219524871	BCS1L	skin fibroblast (CHR_S, ENH_F, PR_F)	88	40576	chr2:219523741-219524926	chr2:219523741-219524926	0	skin fibroblast (CHR_S, ENH_F, PR_F);skeletal muscle tissue (ENH_F, ENH_S, PR_F, PR_S);fibroblast of dermis (CHR_E, CHR_S, ENH_E, ENH_S, PR_F, PR_S);skeletal muscle cell (CHR_E, ENH_F, PR_F, PR_S);skeletal muscle myoblast (CHR_E, ENH_E, ENH_S, PR_F, PR_S)	303	125545	chr2:219523741-219524926	chr2:219523741-219524926	0	1205	652477	chr2:219523139-219525593	chr2:219523139-219525593	0
chr9	35657917	RMRP	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	182	107196	chr9:35657224-35659234	chr9:35657224-35659234	0	hepatocyte (CHR_E, ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);kidney embryonic (CHR_S, PR_S)	235	140733	chr9:35657224-35659234	chr9:35657224-35659234	0	1194	624777	chr9:35655512-35659967	chr9:35655512-35659967	0
chr9	35657945	RMRP	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	182	107196	chr9:35657224-35659234	chr9:35657224-35659234	0	hepatocyte (CHR_E, ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);kidney embryonic (CHR_S, PR_S)	235	140733	chr9:35657224-35659234	chr9:35657224-35659234	0	1194	624777	chr9:35655512-35659967	chr9:35655512-35659967	0
chrX	55054635	ALAS2	reticulocyte (ENH_F, PR_F)	2	409	None	chrX:55057403-55057616	2769	erythroblast (ENH_E);reticulocyte (ENH_F, PR_F);stromal cell of bone marrow (CHR_E, CHR_S)	40	18074	chrX:55054339-55054930	chrX:55054339-55054930	0	1358	499334	chrX:55054339-55054930	chrX:55054339-55054930	0
chrX	100641044	BTK	lymphocyte of B lineage (ENH_F, PR_F)	2	489	None	chrX:100641155-100641388	112	common myeloid progenitor, CD34-positive (CHR_E, CHR_S, ENH_S, PR_S);lymphocyte of B lineage (ENH_F, PR_F)	92	34328	chrX:100640812-100641481	chrX:100640812-100641481	0	1381	467194	chrX:100640802-100641793	chrX:100640802-100641793	0
chrY	2655719	SRY	testis (CHR_E, CHR_S, ENH_E, ENH_F, PR_F)	10	6889	chrY:2654199-2656065	chrY:2654199-2656065	0	testis (CHR_E, CHR_S, ENH_E, ENH_F, PR_F);testis embryonic (CHR_S)	10	6889	chrY:2654199-2656065	chrY:2654199-2656065	0	577	152553	chrY:2654164-2656716	chrY:2654164-2656716	0
chr1	8021919	PARK7	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	307	117217	chr1:8021145-8022347	chr1:8021145-8022347	0	right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatocyte (CHR_E, ENH_F, PR_F);caudate nucleus (ENH_S, PR_S);skeletal muscle tissue (ENH_F, ENH_S, PR_F, PR_S);neuron (ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S);kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S);skeletal muscle cell (CHR_E, ENH_F, PR_F, PR_S)	615	287463	chr1:8021145-8022741	chr1:8021145-8022741	0	1274	672776	chr1:8020254-8023005	chr1:8020254-8023005	0
chr1	228337561	GJC2	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	185	67411	chr1:228337423-228337662	chr1:228337423-228337662	0	neuron (ENH_F, PR_F);dendritic cell (ENH_F, PR_F);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	185	67411	chr1:228337423-228337662	chr1:228337423-228337662	0	946	704385	chr1:228326635-228340306	chr1:228326635-228340306	0
chr3	12421189	PPARG	adipose tissue (ENH_F, PR_F)	4	1203	None	chr3:12392709-12393047	28142	adipose tissue (ENH_F, PR_F);subcutaneous adipose tissue (ENH_E, PR_F);small intestine (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);intestinal epithelial cell (ENH_F, PR_F);large intestine (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);subcutaneous abdominal adipose tissue (ENH_S, PR_S)	382	145212	None	chr3:12421469-12421877	281	1323	603638	None	chr3:12421214-12421395	26
chr5	112073008	APC	colonic mucosa (ENH_S, PR_S)	20	7482	chr5:112072865-112074555	chr5:112072865-112074555	0	transverse colon (CHR_E, CHR_S, ENH_E);sigmoid colon (CHR_S, ENH_E, ENH_S, PR_S);colonic mucosa (ENH_S, PR_S)	149	55853	chr5:112072865-112074555	chr5:112072865-112074555	0	1284	554680	chr5:112072783-112074582	chr5:112072783-112074582	0
chr8	11560787	GATA4	heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	331	148637	chr8:11560264-11561199	chr8:11560264-11561199	0	cardiac muscle cell (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S);left cardiac atrium (CHR_E);heart right ventricle (CHR_E, ENH_S, PR_S);heart left ventricle (CHR_E, CHR_S, ENH_E, PR_F, PR_S);right cardiac atrium (ENH_S, PR_S)	642	231962	chr8:11560264-11561199	chr8:11560264-11561199	0	1001	664923	chr8:11557483-11568038	chr8:11557483-11568038	0
chr8	11560864	GATA4	heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	331	148637	chr8:11560264-11561199	chr8:11560264-11561199	0	cardiac muscle cell (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S);left cardiac atrium (CHR_E);heart right ventricle (CHR_E, ENH_S, PR_S);heart left ventricle (CHR_E, CHR_S, ENH_E, PR_F, PR_S);right cardiac atrium (ENH_S, PR_S)	642	231962	chr8:11560264-11561199	chr8:11560264-11561199	0	1001	664923	chr8:11557483-11568038	chr8:11557483-11568038	0
chr8	11561283	GATA4	heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	331	148637	chr8:11561243-11561760	chr8:11561243-11561760	0	cardiac muscle cell (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S);left cardiac atrium (CHR_E);heart right ventricle (CHR_E, ENH_S, PR_S);heart left ventricle (CHR_E, CHR_S, ENH_E, PR_F, PR_S);right cardiac atrium (ENH_S, PR_S)	642	231962	chr8:11561243-11562285	chr8:11561243-11562285	0	1001	664923	chr8:11557483-11568038	chr8:11557483-11568038	0
chr8	11561369	GATA4	heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	331	148637	chr8:11561243-11561760	chr8:11561243-11561760	0	cardiac muscle cell (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S);left cardiac atrium (CHR_E);heart right ventricle (CHR_E, ENH_S, PR_S);heart left ventricle (CHR_E, CHR_S, ENH_E, PR_F, PR_S);right cardiac atrium (ENH_S, PR_S)	642	231962	chr8:11561243-11562285	chr8:11561243-11562285	0	1001	664923	chr8:11557483-11568038	chr8:11557483-11568038	0
chr8	11561399	GATA4	heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	331	148637	chr8:11561243-11561760	chr8:11561243-11561760	0	cardiac muscle cell (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S);left cardiac atrium (CHR_E);heart right ventricle (CHR_E, ENH_S, PR_S);heart left ventricle (CHR_E, CHR_S, ENH_E, PR_F, PR_S);right cardiac atrium (ENH_S, PR_S)	642	231962	chr8:11561243-11562285	chr8:11561243-11562285	0	1001	664923	chr8:11557483-11568038	chr8:11557483-11568038	0
chr8	41655260	ANK1	erythroblast (ENH_E)	26	17430	chr8:41654850-41655526	chr8:41654850-41655526	0	erythroblast (ENH_E)	26	17430	chr8:41654850-41655526	chr8:41654850-41655526	0	1587	826324	chr8:41653034-41657665	chr8:41653034-41657665	0
chr10	89623365	PTEN	breast epithelium (CHR_E, ENH_E, PR_S)	85	27281	chr10:89621301-89623874	chr10:89621301-89623874	0	sigmoid colon (CHR_S, ENH_E, ENH_S, PR_S);transverse colon (CHR_E, CHR_S, ENH_E);thyroid gland (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S);epithelial cell of prostate (CHR_E, CHR_S, ENH_E, ENH_F, PR_F);breast epithelium (CHR_E, ENH_E, PR_S);colonic mucosa (ENH_S, PR_S)	406	148203	chr10:89621247-89623874	chr10:89621247-89623874	0	1200	502060	chr10:89619737-89629882	chr10:89619737-89629882	0
chr10	89623373	PTEN	breast epithelium (CHR_E, ENH_E, PR_S)	85	27281	chr10:89621301-89623874	chr10:89621301-89623874	0	sigmoid colon (CHR_S, ENH_E, ENH_S, PR_S);transverse colon (CHR_E, CHR_S, ENH_E);thyroid gland (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S);epithelial cell of prostate (CHR_E, CHR_S, ENH_E, ENH_F, PR_F);breast epithelium (CHR_E, ENH_E, PR_S);colonic mucosa (ENH_S, PR_S)	406	148203	chr10:89621247-89623874	chr10:89621247-89623874	0	1200	502060	chr10:89619737-89629882	chr10:89619737-89629882	0
chr10	89623462	PTEN	breast epithelium (CHR_E, ENH_E, PR_S)	85	27281	chr10:89621301-89623874	chr10:89621301-89623874	0	sigmoid colon (CHR_S, ENH_E, ENH_S, PR_S);transverse colon (CHR_E, CHR_S, ENH_E);thyroid gland (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S);epithelial cell of prostate (CHR_E, CHR_S, ENH_E, ENH_F, PR_F);breast epithelium (CHR_E, ENH_E, PR_S);colonic mucosa (ENH_S, PR_S)	406	148203	chr10:89621247-89623874	chr10:89621247-89623874	0	1200	502060	chr10:89619737-89629882	chr10:89619737-89629882	0
chr10	127505271	UROS	erythroblast (ENH_E)	5	3218	chr10:127505037-127505723	chr10:127505037-127505723	0	erythroblast (ENH_E)	5	3218	chr10:127505037-127505723	chr10:127505037-127505723	0	1271	636393	chr10:127504904-127505723	chr10:127504904-127505723	0
chr10	127505287	UROS	erythroblast (ENH_E)	5	3218	chr10:127505037-127505723	chr10:127505037-127505723	0	erythroblast (ENH_E)	5	3218	chr10:127505037-127505723	chr10:127505037-127505723	0	1271	636393	chr10:127504904-127505723	chr10:127504904-127505723	0
chr10	127505291	UROS	erythroblast (ENH_E)	5	3218	chr10:127505037-127505723	chr10:127505037-127505723	0	erythroblast (ENH_E)	5	3218	chr10:127505037-127505723	chr10:127505037-127505723	0	1271	636393	chr10:127504904-127505723	chr10:127504904-127505723	0
