chr	pos	gene	tissues	num_features	features_size	regulator_overlapping	regulator_closest	regulator_closest_distance	tissues_WIDE	num_features_WIDE	features_size_WIDE	regulator_overlapping_WIDE	regulator_closest_WIDE	regulator_closest_distance_WIDE	num_features_ALL	features_size_ALL	regulator_overlapping_ALL	regulator_closest_ALL	regulator_closest_distance_ALL
chr11	17498513	ABCC8	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	71	31105	None	chr11:17526110-17526630	27598	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	510	134031	chr11:17497325-17498557	chr11:17497325-17498557	0	1286	611712	chr11:17496948-17499370	chr1:209987780-209990814	0
chr19	39137810	ACTN4	glomerular endothelial cell (CHR_E, CHR_S, PR_F)	69	39158	None	chr19:39137874-39138532	65	left renal pelvis (CHR_E, CHR_S);right renal cortex interstitium (CHR_E, CHR_S);right kidney (CHR_E, CHR_S);right renal pelvis (CHR_E, CHR_S);left kidney (CHR_E, CHR_S);left renal cortex interstitium (CHR_E, CHR_S);renal pelvis (CHR_E, CHR_S);renal cortex interstitium (CHR_E, CHR_S);kidney epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S);kidney tubule cell (CHR_E);epithelial cell of proximal tubule (CHR_E, ENH_E, PR_F, PR_S);kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S);renal cortical epithelial cell (CHR_E, CHR_S, PR_F);kidney capillary endothelial cell (CHR_E)	487	211662	None	chr19:39137874-39138532	65	1040	697452	chr19:39137503-39151112	chr7:156061249-156061649	0
chr11	67250359	AIP	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	227	79443	chr11:67250103-67251115	chr11:67250103-67251115	0	astrocyte of the hippocampus (CHR_E);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S);cerebellum (CHR_E, PR_F);astrocyte of the spinal cord (CHR_E, ENH_E, PR_S);midbrain (CHR_S);astrocyte of the cerebellum (CHR_E, PR_F, PR_S);astrocyte (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S);cerebellar cortex (CHR_E, CHR_S)	619	193043	chr11:67250103-67251115	chr11:67250103-67251115	0	1044	629605	chr11:67249821-67253212	chr8:11329995-11335497	0
chrX	55057617	ALAS2	reticulocyte (ENH_F, PR_F)	2	409	None	chrX:55057403-55057616	1	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	38	17665	None	chrX:55054339-55054930	2687	1358	499334	None	chr10:23508765-23508915	461
chr9	104198194	ALDOB	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	125	86675	chr9:104197797-104198580	chr9:104197797-104198580	0	hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatic stellate cell (ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	137	93084	chr9:104197778-104198580	chr9:104197778-104198580	0	1156	421705	chr9:104196495-104198580	chr10:23508765-23508915	403
chr8	11331747	BLK	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	120	54219	chr8:11331735-11332050	chr8:11331735-11332050	0	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	743	196897	chr8:11331324-11332406	chr8:11331324-11332406	0	1061	714634	chr8:11329995-11335497	chr10:23508765-23508915	401
chrX	135730217	CD40LG	naive thymus-derived CD4-positive, alpha-beta T cell (CHR_E, CHR_S, PR_F)	100	33192	chrX:135730097-135730424	chrX:135730097-135730424	0	CD4-positive, CD25-positive, alpha-beta regulatory T cell (ENH_S, PR_S);naive thymus-derived CD4-positive, alpha-beta T cell (CHR_E, CHR_S, PR_F);CD4-positive, alpha-beta T cell (CHR_E, PR_F);CD4-positive, alpha-beta memory T cell (ENH_S, PR_S);CD4-positive helper T cell (CHR_S, ENH_S, PR_S)	214	80901	chrX:135730097-135730424	chrX:135730097-135730424	0	1503	532112	chrX:135729962-135730864	chr10:23508765-23508915	329
chr7	117119337	CFTR	lung (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	212	75727	chr7:117118531-117120609	chr7:117118531-117120609	0	lung (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);colonic mucosa (ENH_S, PR_S);pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);tracheal epithelial cell (PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);intestinal epithelial cell (ENH_F, PR_F);respiratory epithelial cell (ENH_F, PR_F)	332	118465	chr7:117118251-117120609	chr7:117118251-117120609	0	1269	508869	chr7:117117934-117120646	chr10:23508765-23508915	320
chr3	48632780	COL7A1	skin fibroblast (CHR_S, ENH_F, PR_F)	80	49134	chr3:48632646-48632855	chr3:48632646-48632855	0	fibroblast of skin of back (CHR_E);fibroblast of skin of scalp (CHR_E);fibroblast of skin of right biceps (CHR_E);suprapubic skin (ENH_E);fibroblast of skin of abdomen embryonic (CHR_S);fibroblast of skin of right quadriceps (CHR_E);fibroblast of skin of left quadriceps (CHR_E);lower leg skin (CHR_E, ENH_E);skin fibroblast (CHR_S, ENH_F, PR_F);foreskin melanocyte (CHR_E, CHR_S, ENH_S, PR_S);foreskin fibroblast (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);fibroblast of skin of abdomen (CHR_E, CHR_S, PR_S);skin of body embryonic (CHR_S);skin of body (CHR_S, ENH_F, PR_F);foreskin keratinocyte (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);fibroblast of skin of upper back (CHR_E);fibroblast of skin of left biceps (CHR_E);skin fibroblast embryonic (CHR_S)	422	147550	chr3:48632646-48633622	chr3:48632646-48633622	0	1293	658376	chr3:48631523-48639515	chr11:5271374-5272287	92
chrX	146993366	FMR1	astrocyte (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	909	175693	chrX:146993140-146993563	chrX:146993140-146993563	0	astrocyte of the hippocampus (CHR_E);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S);astrocyte of the spinal cord (CHR_E, ENH_E, PR_S);midbrain (CHR_S);neuronal stem cell (ENH_F, PR_F);astrocyte of the cerebellum (CHR_E, PR_F, PR_S);neurosphere (PR_S);astrocyte (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S);neuron (ENH_F, PR_F)	1010	208450	chrX:146993140-146994427	chrX:146993140-146994427	0	1676	480429	chrX:146991935-146996054	chr11:5276008-5276656	0
chr19	49468350	FTL	erythroblast (ENH_E)	35	23652	chr19:49467797-49468757	chr19:49467797-49468757	0	granulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	64	31999	chr19:49467797-49468821	chr19:49467797-49468821	0	1082	676500	chr19:49463885-49474865	chr11:31685540-31686265	0
chr16	209709	HBA2	erythroblast (ENH_E)	29	19285	None	chr16:215748-216452	6040	erythroblast (ENH_E);stromal cell of bone marrow (CHR_E, CHR_S)	90	51113	None	chr16:215748-216452	6040	645	487775	chr16:209142-210247	chr11:67249821-67253212	0
chr11	5271283	HBG1	blood (ENH_F, PR_F)	1	107	None	chr11:5297176-5297283	25894	granulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	33	21084	None	chr11:5268273-5269072	2211	1258	370674	None	chr12:114704302-114704713	0
chr11	5271201	HBG1	blood (ENH_F, PR_F)	1	107	None	chr11:5297176-5297283	25976	granulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	33	21084	None	chr11:5268273-5269072	2129	1258	370674	None	chr16:209142-210247	0
chr11	5271204	HBG1	blood (ENH_F, PR_F)	1	107	None	chr11:5297176-5297283	25973	granulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	33	21084	None	chr11:5268273-5269072	2132	1258	370674	None	chrX:105251550-105252509	0
chr11	5276125	HBG2	reticulocyte (ENH_F, PR_F)	5	1065	chr11:5276008-5276213	chr11:5276008-5276213	0	granulocyte (ENH_F, PR_F);reticulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	35	21452	chr11:5276008-5276213	chr11:5276008-5276213	0	1265	371726	chr11:5276008-5276656	chr1:171620893-171622713	0
chr11	5276186	HBG2	reticulocyte (ENH_F, PR_F)	5	1065	chr11:5276008-5276213	chr11:5276008-5276213	0	granulocyte (ENH_F, PR_F);reticulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	35	21452	chr11:5276008-5276213	chr11:5276008-5276213	0	1265	371726	chr11:5276008-5276656	chr3:48631523-48639515	0
chr11	5276213	HBG2	reticulocyte (ENH_F, PR_F)	5	1065	chr11:5276008-5276213	chr11:5276008-5276213	0	granulocyte (ENH_F, PR_F);reticulocyte (ENH_F, PR_F);peripheral blood mononuclear cell (ENH_S, PR_S);blood (ENH_F, PR_F);erythroblast (ENH_E)	35	21452	chr11:5276008-5276213	chr11:5276008-5276213	0	1265	371726	chr11:5276008-5276656	chr7:117117934-117120646	0
chrX	153237261	HCFC1	astrocyte (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	359	77024	chrX:153235486-153239031	chrX:153235486-153239031	0	astrocyte of the hippocampus (CHR_E);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S);astrocyte of the spinal cord (CHR_E, ENH_E, PR_S);midbrain (CHR_S);neuronal stem cell (ENH_F, PR_F);astrocyte of the cerebellum (CHR_E, PR_F, PR_S);neurosphere (PR_S);astrocyte (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S);neuron (ENH_F, PR_F)	528	164976	chrX:153235486-153239582	chrX:153235486-153239582	0	991	679552	chrX:153231593-153240670	chr9:104196495-104198580	0
chr20	42984264	HNF4A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	86	44222	chr20:42983201-42985298	chr20:42983201-42985298	0	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	611	151384	chr20:42983201-42985298	chr20:42983201-42985298	0	1289	724823	chr20:42982955-42987085	chr11:2182191-2182675	0
chr20	42984276	HNF4A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	86	44222	chr20:42983201-42985298	chr20:42983201-42985298	0	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	611	151384	chr20:42983201-42985298	chr20:42983201-42985298	0	1289	724823	chr20:42982955-42987085	chr11:5270623-5271096	105
chr20	42984299	HNF4A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	86	44222	chr20:42983201-42985298	chr20:42983201-42985298	0	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	611	151384	chr20:42983201-42985298	chr20:42983201-42985298	0	1289	724823	chr20:42982955-42987085	chr11:5270623-5271096	108
chr20	42984309	HNF4A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	86	44222	chr20:42983201-42985298	chr20:42983201-42985298	0	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	611	151384	chr20:42983201-42985298	chr20:42983201-42985298	0	1289	724823	chr20:42982955-42987085	chr11:5276008-5276656	0
chr11	2182543	INS	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	129	67156	None	chr11:2178120-2178439	4104	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	775	228706	chr11:2182191-2182675	chr11:2182191-2182675	0	756	801813	chr11:2182191-2182675	chr11:5276008-5276656	0
